Dataset: ;Last updated: ;Time frequency;Tenure status;Unit of measure;Time;HHCOMP (Labels);Region;Year;Value
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Kassel;Total;536310
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Kassel;Household composed of married couple;256953
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Kassel;Household composed of married couple with at least one resident child under 25 years;106660
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Kassel;Household composed of couple in registered partnership;291
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Kassel;Household composed of couple in registered partnership with at least one resident child under 25 years;31
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Kassel;Household composed of couple in consensual union;35383
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Kassel;Household composed of couple in consensual union with at least one resident child under 25 years;10510
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Kassel;Household composed of lone father living with at least one child;6611
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Kassel;Household composed of lone father with at least one resident child 25 years or older;2205
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Kassel;Household composed of lone mother with at least one resident child under 25 years;24118
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Kassel;Household composed of two-or-more-family nucleus;8731
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Kassel;One-person household;184045
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Mecklenburg-Vorpommern;Total;787280
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Mecklenburg-Vorpommern;Household composed of married couple;331737
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Mecklenburg-Vorpommern;Household composed of married couple with at least one resident child under 25 years;94246
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Mecklenburg-Vorpommern;Household composed of couple in registered partnership;300
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Mecklenburg-Vorpommern;Household composed of couple in registered partnership with at least one resident child under 25 years;47
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Mecklenburg-Vorpommern;Household composed of couple in consensual union;70285
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Mecklenburg-Vorpommern;Household composed of couple in consensual union with at least one resident child under 25 years;32699
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Mecklenburg-Vorpommern;Household composed of lone father living with at least one child;7913
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Mecklenburg-Vorpommern;Household composed of lone father with at least one resident child 25 years or older;2818
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Mecklenburg-Vorpommern;Household composed of lone mother with at least one resident child under 25 years;41680
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Mecklenburg-Vorpommern;Household composed of two-or-more-family nucleus;9530
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Mecklenburg-Vorpommern;One-person household;296645
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Mecklenburg-Vorpommern;Total;787280
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Mecklenburg-Vorpommern;Household composed of married couple;331737
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Mecklenburg-Vorpommern;Household composed of married couple with at least one resident child under 25 years;94246
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Mecklenburg-Vorpommern;Household composed of couple in registered partnership;300
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Mecklenburg-Vorpommern;Household composed of couple in registered partnership with at least one resident child under 25 years;47
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Mecklenburg-Vorpommern;Household composed of couple in consensual union;70285
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Mecklenburg-Vorpommern;Household composed of couple in consensual union with at least one resident child under 25 years;32699
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Mecklenburg-Vorpommern;Household composed of lone father living with at least one child;7913
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Mecklenburg-Vorpommern;Household composed of lone father with at least one resident child 25 years or older;2818
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Mecklenburg-Vorpommern;Household composed of lone mother with at least one resident child under 25 years;41680
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Mecklenburg-Vorpommern;Household composed of two-or-more-family nucleus;9530
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Mecklenburg-Vorpommern;One-person household;296645
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Niedersachsen;Total;3457384
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Niedersachsen;Household composed of married couple;1630188
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Niedersachsen;Household composed of married couple with at least one resident child under 25 years;694544
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Niedersachsen;Household composed of couple in registered partnership;2382
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Niedersachsen;Household composed of couple in registered partnership with at least one resident child under 25 years;268
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Niedersachsen;Household composed of couple in consensual union;245401
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Niedersachsen;Household composed of couple in consensual union with at least one resident child under 25 years;72319
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Niedersachsen;Household composed of lone father living with at least one child;41399
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Niedersachsen;Household composed of lone father with at least one resident child 25 years or older;12127
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Niedersachsen;Household composed of lone mother with at least one resident child under 25 years;160195
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Niedersachsen;Household composed of two-or-more-family nucleus;48675
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Niedersachsen;One-person household;1205555
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Braunschweig;Total;732342
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Braunschweig;Household composed of married couple;329913
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Braunschweig;Household composed of married couple with at least one resident child under 25 years;133089
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Braunschweig;Household composed of couple in registered partnership;392
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Braunschweig;Household composed of couple in registered partnership with at least one resident child under 25 years;54
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Braunschweig;Household composed of couple in consensual union;50744
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Braunschweig;Household composed of couple in consensual union with at least one resident child under 25 years;15011
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Braunschweig;Household composed of lone father living with at least one child;8728
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Braunschweig;Household composed of lone father with at least one resident child 25 years or older;2455
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Braunschweig;Household composed of lone mother with at least one resident child under 25 years;33417
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Braunschweig;Household composed of two-or-more-family nucleus;9031
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Braunschweig;One-person household;274356
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Hannover;Total;976877
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Hannover;Household composed of married couple;428470
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Hannover;Household composed of married couple with at least one resident child under 25 years;176084
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Hannover;Household composed of couple in registered partnership;856
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Hannover;Household composed of couple in registered partnership with at least one resident child under 25 years;82
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Hannover;Household composed of couple in consensual union;68883
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Hannover;Household composed of couple in consensual union with at least one resident child under 25 years;19863
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Hannover;Household composed of lone father living with at least one child;10948
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Hannover;Household composed of lone father with at least one resident child 25 years or older;3218
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Hannover;Household composed of lone mother with at least one resident child under 25 years;46734
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Hannover;Household composed of two-or-more-family nucleus;11314
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Hannover;One-person household;376003
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Lüneburg;Total;720614
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Lüneburg;Household composed of married couple;357945
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Lüneburg;Household composed of married couple with at least one resident child under 25 years;151378
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Lüneburg;Household composed of couple in registered partnership;519
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Lüneburg;Household composed of couple in registered partnership with at least one resident child under 25 years;57
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Lüneburg;Household composed of couple in consensual union;54696
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Lüneburg;Household composed of couple in consensual union with at least one resident child under 25 years;16909
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Lüneburg;Household composed of lone father living with at least one child;8902
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Lüneburg;Household composed of lone father with at least one resident child 25 years or older;2565
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Lüneburg;Household composed of lone mother with at least one resident child under 25 years;33800
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Lüneburg;Household composed of two-or-more-family nucleus;11289
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Lüneburg;One-person household;229042
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Weser-Ems;Total;1027551
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Weser-Ems;Household composed of married couple;513860
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Weser-Ems;Household composed of married couple with at least one resident child under 25 years;233993
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Weser-Ems;Household composed of couple in registered partnership;615
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Weser-Ems;Household composed of couple in registered partnership with at least one resident child under 25 years;75
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Weser-Ems;Household composed of couple in consensual union;71078
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Weser-Ems;Household composed of couple in consensual union with at least one resident child under 25 years;20536
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Weser-Ems;Household composed of lone father living with at least one child;12821
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Weser-Ems;Household composed of lone father with at least one resident child 25 years or older;3889
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Weser-Ems;Household composed of lone mother with at least one resident child under 25 years;46244
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Weser-Ems;Household composed of two-or-more-family nucleus;17041
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Weser-Ems;One-person household;326154
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Nordrhein-Westfalen;Total;8055697
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Nordrhein-Westfalen;Household composed of married couple;3639440
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Nordrhein-Westfalen;Household composed of married couple with at least one resident child under 25 years;1571987
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Nordrhein-Westfalen;Household composed of couple in registered partnership;7057
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Nordrhein-Westfalen;Household composed of couple in registered partnership with at least one resident child under 25 years;619
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Nordrhein-Westfalen;Household composed of couple in consensual union;510997
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Nordrhein-Westfalen;Household composed of couple in consensual union with at least one resident child under 25 years;135891
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Nordrhein-Westfalen;Household composed of lone father living with at least one child;90509
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Nordrhein-Westfalen;Household composed of lone father with at least one resident child 25 years or older;25145
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Nordrhein-Westfalen;Household composed of lone mother with at least one resident child under 25 years;382743
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Nordrhein-Westfalen;Household composed of two-or-more-family nucleus;98028
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Nordrhein-Westfalen;One-person household;3042816
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Düsseldorf;Total;2418496
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Düsseldorf;Household composed of married couple;1047906
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Düsseldorf;Household composed of married couple with at least one resident child under 25 years;431811
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Düsseldorf;Household composed of couple in registered partnership;2292
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Düsseldorf;Household composed of couple in registered partnership with at least one resident child under 25 years;194
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Düsseldorf;Household composed of couple in consensual union;154505
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Düsseldorf;Household composed of couple in consensual union with at least one resident child under 25 years;40454
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Düsseldorf;Household composed of lone father living with at least one child;25204
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Düsseldorf;Household composed of lone father with at least one resident child 25 years or older;6511
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Düsseldorf;Household composed of lone mother with at least one resident child under 25 years;118613
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Düsseldorf;Household composed of two-or-more-family nucleus;25305
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Düsseldorf;One-person household;969846
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Köln;Total;1974306
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Köln;Household composed of married couple;864528
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Köln;Household composed of married couple with at least one resident child under 25 years;378095
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Köln;Household composed of couple in registered partnership;2418
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Köln;Household composed of couple in registered partnership with at least one resident child under 25 years;198
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Köln;Household composed of couple in consensual union;135141
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Köln;Household composed of couple in consensual union with at least one resident child under 25 years;35476
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Köln;Household composed of lone father living with at least one child;22613
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Köln;Household composed of lone father with at least one resident child 25 years or older;6209
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Köln;Household composed of lone mother with at least one resident child under 25 years;95700
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Köln;Household composed of two-or-more-family nucleus;23834
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Köln;One-person household;753491
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Münster;Total;1123810
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Münster;Household composed of married couple;543939
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Münster;Household composed of married couple with at least one resident child under 25 years;247588
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Münster;Household composed of couple in registered partnership;771
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Münster;Household composed of couple in registered partnership with at least one resident child under 25 years;75
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Münster;Household composed of couple in consensual union;68149
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Münster;Household composed of couple in consensual union with at least one resident child under 25 years;18312
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Münster;Household composed of lone father living with at least one child;12774
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Münster;Household composed of lone father with at least one resident child 25 years or older;3799
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Münster;Household composed of lone mother with at least one resident child under 25 years;51169
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Münster;Household composed of two-or-more-family nucleus;17030
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Münster;One-person household;387451
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Detmold;Total;876667
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Detmold;Household composed of married couple;423716
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Detmold;Household composed of married couple with at least one resident child under 25 years;193851
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Detmold;Household composed of couple in registered partnership;469
